dataset_id,Dataset,baseline_id,Baseline,metric,metric_label,n,common_seeds,oncl_mean,oncl_std,baseline_mean,baseline_std,mean_diff_good_direction,cohens_d_paired,alternative,t_stat,p_value,p_holm,significant_0.05
3d_vz_2d_ellipse_traj,3DTwistEllipse,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.006835545546242169,0.0004945617304343916,0.19564116852624075,0.054819667284985836,0.1888056229799986,3.181290273914545,ONCL < baseline,-8.416902913086439,7.666282069224458e-05,0.0022998846207673376,True
3d_vz_2d_ellipse_traj,3DTwistEllipse,igr,IGR,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.006835545546242169,0.0004945617304343916,0.39207719905035837,0.004562566872590128,0.3852416535041162,73.70350332537595,ONCL < baseline,-195.0011405531668,6.135797223719686e-13,2.4543188894878743e-11,True
3d_vz_2d_ellipse_traj,3DTwistEllipse,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.006835545546242169,0.0004945617304343916,0.1195465134722846,0.070703162913288,0.11271096792604242,1.4725650396840744,ONCL < baseline,-3.8960408843720207,0.004010277374790189,0.07619527012101358,False
3d_vz_2d_ellipse_traj,3DTwistEllipse,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.006835545546242169,0.0004945617304343916,0.2504590962614332,0.14471318893799853,0.243623550715191,1.557053279447359,ONCL < baseline,-4.11957575549527,0.0031096003009365505,0.06219200601873101,False
3d_torus_surface_traj,3DTorus,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.07081548656736102,0.04273939110395602,0.08452437551958221,0.05678746027890842,0.01370888895222119,0.15646762697392197,ONCL < baseline,-0.4139744292054194,0.34664191553762835,1.0,False
3d_torus_surface_traj,3DTorus,igr,IGR,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.07081548656736102,0.04273939110395602,0.07081548656736102,0.04273939110395602,0.0,nan,ONCL < baseline,nan,nan,1.0,False
3d_torus_surface_traj,3DTorus,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.07081548656736102,0.04273939110395602,0.27149626825537,0.05234541547685114,0.20068078168800899,2.4753592249346323,ONCL < baseline,-6.549184914726632,0.00030313866547492814,0.007881605302348133,True
3d_torus_surface_traj,3DTorus,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.07081548656736102,0.04273939110395602,0.4867619829518454,0.16149912485722318,0.41594649638448444,2.25861607897332,ONCL < baseline,-5.975736452135226,0.0004926259653136736,0.011823023167528167,True
6d_spatial_arm_up_n6_py_traj,6DArmUp,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.14103814108031137,0.055167512436096536,0.13036939182451793,0.0674228058030519,-0.010668749255793435,-0.11109930679802642,ONCL < baseline,0.2939411366192456,0.6106469230362299,1.0,False
6d_spatial_arm_up_n6_py_traj,6DArmUp,igr,IGR,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.14103814108031137,0.055167512436096536,0.4919592354978834,0.05274500656164245,0.350921094417572,7.012841700023701,ONCL < baseline,-18.55423512212614,7.905206465238229e-07,2.76682226283338e-05,True
6d_spatial_arm_up_n6_py_traj,6DArmUp,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.14103814108031137,0.055167512436096536,0.22878079967839376,0.036833347759328665,0.0877426585980824,1.1027413996056148,ONCL < baseline,-2.917579503771757,0.013357678939457461,0.22708054197077684,False
6d_spatial_arm_up_n6_py_traj,6DArmUp,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.14103814108031137,0.055167512436096536,0.39025854212897165,0.06647316573188014,0.24922040104866028,2.917365632037568,ONCL < baseline,-7.718623945818173,0.0001240255360930178,0.003472715010604498,True
6d_workspace_sine_surface_pose_traj,6DSinePose,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.10569366493395396,0.02190680204699038,0.10130092608077186,0.02689197072076292,-0.004392738853182111,-0.12918597165422058,ONCL < baseline,0.34179395387530714,0.6279203531406967,1.0,False
6d_workspace_sine_surface_pose_traj,6DSinePose,igr,IGR,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.10569366493395396,0.02190680204699038,0.4960449721132006,0.00491566291572532,0.39035130717924665,14.671673975338225,ONCL < baseline,-38.81760065576334,9.762722494611082e-09,3.7098345479522115e-07,True
6d_workspace_sine_surface_pose_traj,6DSinePose,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,4,"0,1,2,3",0.11426132544875145,0.02532736784138422,0.16644097864627838,0.01755530449686671,0.05217965319752693,1.3822361903930387,ONCL < baseline,-2.7644723807860774,0.03494522936157774,0.5241784404236661,False
6d_workspace_sine_surface_pose_traj,6DSinePose,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.10569366493395396,0.02190680204699038,0.2958012031657355,0.06447614916405908,0.19010753823178156,2.5247612730631848,ONCL < baseline,-6.679890448332027,0.00027264711400555813,0.00736147207815007,True
12d_dual_arm_traj,12DDualArm,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.07431494817137718,0.04363574960187318,0.6528476561818805,0.020387354378549105,0.5785327080105033,13.083329240557216,ONCL < baseline,-34.615235491293944,1.936311901250534e-08,7.164354034626976e-07,True
12d_dual_arm_traj,12DDualArm,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,"0,1,2,3,4,5,6",0.07431494817137718,0.04363574960187318,0.16197476429598673,0.026619845834270506,0.08765981612460953,1.3325164832346104,ONCL < baseline,-3.5255072325331485,0.006217618180561713,0.11191712725011084,False
