dataset_id,Dataset,baseline_id,Baseline,metric,metric_label,n_oncl,n_base,oncl_mean,oncl_std,baseline_mean,baseline_std,mean_diff_good_direction,cohens_d_independent,test_type,alternative,t_stat,p_value,p_holm,significant_0.05
3d_planar_arm_line_n3_traj,3DPlanarArmLine,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.20498211681842804,0.09198602342436121,0.2251961295093809,0.02547962782377966,0.020214012690952854,0.27728073425432714,welch_independent,ONCL < baseline,-0.5187447537664027,0.31005992413244604,1.0,False
3d_planar_arm_line_n3_traj,3DPlanarArmLine,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.20498211681842804,0.09198602342436121,0.16400357016495296,0.029484419391811297,-0.040978546653475084,-0.5554432034657227,welch_independent,ONCL < baseline,1.0391390825904512,0.833858597945589,1.0,False
3d_spatial_arm_ellip_n3_traj,3DArmEllipse,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.03245056154472487,0.0033268673412239704,0.16488039919308253,0.07674475772435356,0.13242983764835767,2.257205238944677,welch_independent,ONCL < baseline,-4.222844327881095,0.0027487560173392925,0.04398009627742868,True
3d_spatial_arm_ellip_n3_traj,3DArmEllipse,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.03245056154472487,0.0033268673412239704,0.07374464933361326,0.015609942056154137,0.041294087788888385,3.387523563589877,welch_independent,ONCL < baseline,-6.337476282288423,0.00025613028778738613,0.005634866331322495,True
3d_spatial_arm_ellip_n3_traj,3DArmEllipse,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.03245056154472487,0.0033268673412239704,0.2422976153237479,0.19826405738467576,0.20984705377902305,1.3856047278436359,welch_independent,ONCL < baseline,-2.5922290825425183,0.02053383604992649,0.24640603259911786,False
3d_twosphere_traj,3DTwoSphere,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.027743751715336527,0.0003980775029609431,0.03322580137423107,0.0014583869784866612,0.005482049658894542,4.7479640401619045,welch_independent,ONCL < baseline,-8.882627361504419,2.554884196623772e-05,0.0007153675750546562,True
3d_twosphere_traj,3DTwoSphere,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.027743751715336527,0.0003980775029609431,0.05384114171777453,0.006996235789512549,0.026097390002438003,4.876097352197046,welch_independent,ONCL < baseline,-9.122342838238467,4.700246261123734e-05,0.0012690664905034082,True
3d_twosphere_traj,3DTwoSphere,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.027743751715336527,0.0003980775029609431,0.289750086409705,0.07108862851754788,0.26200633469436846,4.825545890071765,welch_independent,ONCL < baseline,-9.027769712401826,5.1710925813780346e-05,0.001344484071158289,True
3d_vz_2d_ellipse_traj,3DTwistEllipse,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.006835545546242169,0.0004945617304343916,0.19564116852624075,0.054819667284985836,0.1888056229799986,4.509230741441853,welch_independent,ONCL < baseline,-8.435998256192022,7.563229251924508e-05,0.001870208053046382,True
3d_vz_2d_ellipse_traj,3DTwistEllipse,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.006835545546242169,0.0004945617304343916,0.1195465134722846,0.070703162913288,0.11271096792604242,2.0871723630696395,welch_independent,ONCL < baseline,-3.90474194487497,0.003969436490755314,0.05557211087057439,False
3d_vz_2d_ellipse_traj,3DTwistEllipse,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.006835545546242169,0.0004945617304343916,0.2504590962614332,0.14471318893799853,0.24362355071519104,2.2041960590856977,welch_independent,ONCL < baseline,-4.123673233188005,0.0030951984315731895,0.046427976473597844,True
3d_torus_surface_traj,3DTorus,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.07081548656736102,0.04273939110395602,0.08452437551958221,0.05678746027890842,0.013708888952221193,0.2525427591221365,welch_independent,ONCL < baseline,-0.4724642400728071,0.32285562430553916,1.0,False
3d_torus_surface_traj,3DTorus,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.07081548656736102,0.04273939110395602,0.27149626825537,0.05234541547685114,0.20068078168800896,3.8881788844609053,welch_independent,ONCL < baseline,-7.274116622070805,6.115285491500041e-06,0.00018957385023650128,True
3d_torus_surface_traj,3DTorus,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.07081548656736102,0.04273939110395602,0.4867619829518454,0.16149912485722318,0.4159464963844844,3.2599419743403004,welch_independent,ONCL < baseline,-6.0987929843724045,0.0002694801904272957,0.005659083998973209,True
6d_spatial_arm_up_n6_py_traj,6DArmUp,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.14103814108031137,0.055167512436096536,0.13036939182451793,0.0674228058030519,-0.010668749255793447,-0.16034468203377522,welch_independent,ONCL < baseline,0.2999774319807969,0.615237175295347,1.0,False
6d_spatial_arm_up_n6_py_traj,6DArmUp,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.14103814108031137,0.055167512436096536,0.22878079967839376,0.036833347759328665,0.08774265859808239,1.7318834205425588,welch_independent,ONCL < baseline,-3.240057196752193,0.004188852298387119,0.05557211087057439,False
6d_spatial_arm_up_n6_py_traj,6DArmUp,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.14103814108031137,0.055167512436096536,0.39025854212897165,0.06647316573188014,0.24922040104866028,3.777405497574527,welch_independent,ONCL < baseline,-7.066878591420111,7.817470056022861e-06,0.00023452410168068585,True
6d_workspace_sine_surface_pose_traj,6DSinePose,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.10569366493395396,0.02190680204699038,0.10130092608077186,0.02689197072076292,-0.0043927388531821016,-0.16581684215324025,welch_independent,ONCL < baseline,0.3102149061471,0.6190331721262519,1.0,False
6d_workspace_sine_surface_pose_traj,6DSinePose,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,4,0.10569366493395396,0.02190680204699038,0.16644097864627838,0.01755530449686671,0.06074731371232442,2.6893179983569184,welch_independent,ONCL < baseline,-4.494080902783406,0.0012764653000490423,0.02297637540088276,True
6d_workspace_sine_surface_pose_traj,6DSinePose,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.10569366493395396,0.02190680204699038,0.2958012031657355,0.06447614916405908,0.19010753823178153,3.6552624341716307,welch_independent,ONCL < baseline,-6.838369843707791,9.70023177368777e-05,0.002231053307948187,True
12d_dual_arm_traj,12DDualArm,dataaug,DataAug,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.07431494817137718,0.04363574960187318,0.6528476561818805,0.020387354378549105,0.5785327080105033,15.727202148594923,welch_independent,ONCL < baseline,-29.422901046288597,3.741571905005978e-10,1.197303009601913e-08,True
12d_dual_arm_traj,12DDualArm,vae,VAE,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.07431494817137718,0.04363574960187318,0.16197476429598673,0.026619845834270506,0.08765981612460955,2.2454211806589184,welch_independent,ONCL < baseline,-4.200798373515553,0.0009288953996292075,0.017649012592954944,True
12d_dual_arm_traj,12DDualArm,ecomann,ECoMaNN,proj_manifold_dist,Distance Error $\epsilon_l$,7,7,0.07431494817137718,0.04363574960187318,0.994922263281686,0.04730139507374792,0.9206073151103088,18.729973337996206,welch_independent,ONCL < baseline,-35.04057154709624,1.0753332261835717e-13,3.5485996464057866e-12,True
