method,metric,scale,n,mean,std,baseline_scale,baseline_mean,delta_vs_baseline,pct_change_vs_baseline
ecomann,pred_precision,0.5,21,0.030319940476190476,0.04222613924981499,0.2,0.022298177083333332,0.008021763392857144,35.97497393117832
ecomann,pred_precision,0.75,21,0.038051060267857144,0.05493008275320685,0.2,0.022298177083333332,0.01575288318452381,70.64650677789365
ecomann,pred_precision,1.0,21,0.05512927827380952,0.06524653608290024,0.2,0.022298177083333332,0.03283110119047619,147.2367049009385
ecomann,pred_precision,1.5,21,0.06604585193452381,0.08371021389873658,0.2,0.022298177083333332,0.04374767485119048,196.1939520333681
ecomann,pred_precision,3.0,21,0.0745210193452381,0.11454876506262084,0.2,0.022298177083333332,0.05222284226190477,234.2022940563087
ecomann,pred_FPrate,0.2,21,0.5081380991951706,0.3168598755493225,0.2,0.5081380991951706,0.0,0.0
ecomann,pred_FPrate,0.5,21,0.340959126221426,0.25606034319058035,0.2,0.5081380991951706,-0.16717897297374462,-32.90030274024639
ecomann,pred_FPrate,0.75,21,0.27863261197942135,0.2524492640711358,0.2,0.5081380991951706,-0.22950548721574926,-45.16596720050282
ecomann,pred_FPrate,1.0,21,0.26149709345065836,0.31115440522872295,0.2,0.5081380991951706,-0.24664100574451225,-48.538184036025214
ecomann,pred_FPrate,1.5,21,0.19299010894877006,0.23894235261805744,0.2,0.5081380991951706,-0.31514799024640056,-62.02014585120795
ecomann,pred_FPrate,3.0,21,0.19124587664347345,0.24098616175095583,0.2,0.5081380991951706,-0.31689222255169713,-62.36340535252447
ecomann,train_seconds,0.2,21,20.643607303727464,22.090016438799122,0.2,20.643607303727464,0.0,0.0
ecomann,train_seconds,0.5,21,57.291059085325934,66.66283216307657,0.2,20.643607303727464,36.64745178159847,177.52445705059168
ecomann,train_seconds,0.75,21,100.18018441868203,117.32162293152405,0.2,20.643607303727464,79.53657711495457,385.2842962217812
ecomann,train_seconds,1.0,21,157.4631746758657,189.0944739596586,0.2,20.643607303727464,136.81956737213824,662.7696669439829
ecomann,train_seconds,1.5,21,304.8871439892017,372.73540364783145,0.2,20.643607303727464,284.2435366854743,1376.908272393607
ecomann,train_seconds,3.0,21,1032.6478109119398,1246.6486869001396,0.2,20.643607303727464,1012.0042036082124,4902.264360674417
oncl,proj_true_dist,0.2,21,0.4535014231999715,0.11054883578550652,0.2,0.4535014231999715,0.0,0.0
oncl,proj_true_dist,0.5,21,0.3317887027348791,0.14183226116678269,0.2,0.4535014231999715,-0.1217127204650924,-26.838442888727865
oncl,proj_true_dist,0.75,21,0.3200826666184834,0.13904135011740876,0.2,0.4535014231999715,-0.1334187565814881,-29.419699642851416
